PC1,PC2,PC3,PC4
2.558659681035795,-2.6070080885569165,-0.8094986492445921,0.9759081568594961
-1.5672764162178883,-1.2374864433495318,-0.07100474083060519,0.4281965037459201
-0.24411086851518238,3.0096572353503053,0.20828009708727263,-0.643322609819287
-1.4106894196518587,-0.9810296580653783,0.4057567292360626,-1.1777635384923326
4.0301461874784215,0.6753891117384065,-0.2996389291627503,-1.0673619792611684
-0.5727669667397396,1.9643323690626906,0.2076312132870111,-0.5651589403473228
-1.5741139304260265,-1.2486848630881364,-0.09182296582350268,0.4983222156333426
0.138865670762423,4.355281114990638,0.1453777760397937,-0.4103241122594093
0.20912352954540314,4.538630876404486,0.20970166143078406,-0.6499528065598289
4.4795407724740555,2.4425099505480263,-0.3676541580649312,-0.8818679188074117
-1.576465990776558,-1.2525370465358039,-0.09898429961875198,0.5224450037493635
0.10738247993184052,4.251648261140517,0.16502001635523042,-0.46831789082486586
3.2838800767227667,1.4106929945484779,-1.178275442069004,2.0574957860719185
-1.4757558343796675,-1.0875948513253624,0.20764858349027773,-0.5104408077667278
-0.4555119585781186,2.7041229769750563,-0.43487236688987374,1.539937934060492
-1.5963502268692034,-1.2851032709221348,-0.15952596552065038,0.7263782123523805
-1.4375126177462014,-1.0249604524810851,0.3240879595693821,-0.9026641669657111
-1.3917369175081018,-0.9499894192239029,0.4634615385858535,-1.3721408610720744
-1.4446290272289486,-1.0366156444110322,0.30242058027866114,-0.829678098364042
-0.4921514972168214,2.281743127249158,0.11888353999288838,-0.3040739701033494
-1.4092261381150688,-0.9786331086256392,0.4102119922649254,-1.1927709894950624
2.4302699342730425,-2.185245454752126,-0.21685852185186633,-1.087477997712592
-1.6148161457200414,-1.3153465879896986,-0.2157492714817228,0.9157651248547523
-1.4208379776009634,-0.9976508756886433,0.37485734733986686,-1.0736796815308811
2.1033064118544442,-2.1408284241508624,-0.24917272667951032,-0.7449507316521539
6.345276098291639,-3.546164594001284,0.24543101835396164,1.4220917639685067
-0.17155943524999773,3.325034801473197,0.12495477354227529,-0.34829734215455443
-1.3961040314676267,-0.9571418394860607,0.4501649576630962,-1.327351634171357
