cell_id,lat,lon,PC1,PC2,PC3,PC4,kmeans_label,dbscan_label
830d83fffffffff,66.54199583282787,-175.3339024902358,2.558659681035795,-2.6070080885569165,-0.8094986492445921,0.975908156859496,3,0
832969fffffffff,34.792389912951634,-136.44291251915467,-1.5672764162178885,-1.2374864433495318,-0.0710047408306051,0.4281965037459201,0,1
83722efffffffff,6.739360322051048,138.8174981558139,-0.2441108685151823,3.0096572353503053,0.2082800970872726,-0.643322609819287,1,2
8314b1fffffffff,48.25596667696061,125.68402844448552,-1.410689419651859,-0.9810296580653785,0.4057567292360626,-1.1777635384923326,0,1
836803fffffffff,6.893150933684719,117.88030000595276,4.0301461874784215,0.6753891117384065,-0.2996389291627503,-1.0673619792611684,2,3
839d60fffffffff,-24.95400980903007,143.23557771936254,-0.5727669667397396,1.9643323690626904,0.2076312132870111,-0.5651589403473228,1,2
83d374fffffffff,-51.05855385129348,-120.0621103489853,-1.5741139304260263,-1.2486848630881364,-0.0918229658235026,0.4983222156333426,0,1
834e4bfffffffff,20.97285245889057,140.04533756505705,0.138865670762423,4.355281114990638,0.1453777760397937,-0.4103241122594093,1,2
834a16fffffffff,21.560992889824984,127.07657281909027,0.2091235295454031,4.538630876404486,0.209701661430784,-0.6499528065598289,1,2
837336fffffffff,11.08843153264109,128.4589481271882,4.479540772474056,2.4425099505480263,-0.3676541580649312,-0.8818679188074117,2,3
83dda3fffffffff,-59.40569628701258,-3.753846726252459,-1.576465990776558,-1.252537046535804,-0.0989842996187519,0.5224450037493635,0,1
83a6a0fffffffff,-20.703562833462392,115.96595095500336,0.1073824799318405,4.251648261140517,0.1650200163552304,-0.4683178908248658,1,2
8367b6fffffffff,16.20155810794894,-83.56162788798376,3.2838800767227667,1.410692994548478,-1.178275442069004,2.0574957860719185,2,3
83d6ccfffffffff,-45.317577492146405,28.97459175140148,-1.4757558343796675,-1.0875948513253624,0.2076485834902777,-0.5104408077667278,0,1
834d35fffffffff,30.336723782952163,-61.857825328693856,-0.4555119585781186,2.7041229769750563,-0.4348723668898737,1.539937934060492,1,2
83a923fffffffff,-32.27519378442933,-51.13719559302776,-1.5963502268692034,-1.2851032709221348,-0.1595259655206503,0.7263782123523805,0,1
8324f5fffffffff,40.50460767129467,103.94984288680338,-1.4375126177462014,-1.0249604524810851,0.3240879595693821,-0.9026641669657112,0,1
836a33fffffffff,7.567283725846778,23.94979778378786,-1.3917369175081018,-0.9499894192239028,0.4634615385858535,-1.3721408610720744,0,1
8310a0fffffffff,54.355793930862106,44.88851329457877,-1.4446290272289486,-1.0366156444110322,0.3024205802786611,-0.829678098364042,0,1
835a5efffffffff,16.963102567296694,165.14690899412847,-0.4921514972168214,2.281743127249158,0.1188835399928883,-0.3040739701033494,1,2
8374e0fffffffff,-1.042873250517869,-3.428408476693613,-1.4092261381150688,-0.9786331086256392,0.4102119922649254,-1.1927709894950624,0,1
832468fffffffff,47.11146830600144,114.18945220550472,2.4302699342730425,-2.185245454752126,-0.2168585218518663,-1.087477997712592,3,0
83b34cfffffffff,-24.019422992173133,-61.72116853841313,-1.6148161457200414,-1.3153465879896986,-0.2157492714817228,0.9157651248547524,0,1
8343aefffffffff,24.479730891869497,55.95044059090553,-1.4208379776009634,-0.9976508756886432,0.3748573473398668,-1.0736796815308811,0,1
835532fffffffff,26.39979215233546,-14.225451371438869,2.103306411854444,-2.1408284241508624,-0.2491727266795103,-0.7449507316521539,3,0
8322c5fffffffff,52.45422213153543,-171.49746505627573,6.345276098291639,-3.546164594001284,0.2454310183539616,1.422091763968507,3,0
832fa9fffffffff,38.60709746990385,149.47063364428632,-0.1715594352499977,3.325034801473197,0.1249547735422752,-0.3482973421545544,1,2
837a15fffffffff,0.8167000522120611,46.92663572994203,-1.3961040314676267,-0.9571418394860608,0.4501649576630962,-1.327351634171357,0,1
83c655fffffffff,-33.64502992905113,-137.2411557277583,-0.7187980172437076,1.6141999708097234,-0.0047024786693498,0.1598515773010955,1,2
830ce3fffffffff,58.77087256963039,-158.28976874866223,-1.6084357736379171,-1.30489687154464,-0.196322910160825,0.8503278737214295,0,1
83530bfffffffff,23.876783805162017,44.13270473518178,-1.3955240331563208,-0.9561919234288544,0.4519308823796978,-1.3333001109475249,0,1
83008cfffffffff,79.4124594640472,75.11155366684225,-1.5735217011363658,-1.2477149152437543,-0.0900198013657433,0.4922482976459246,0,1
8352dbfffffffff,8.758371544216445,46.24887201223952,-1.3748664347366588,-0.9223590931263492,0.5148272097030961,-1.5451649423710694,0,1
836604fffffffff,10.011007022853947,-74.73636044087552,3.008884366411129,-2.7518675983354104,-0.885357081183935,1.0750878250574836,3,0
839c6efffffffff,-18.27488703523236,136.5597099740803,-0.4596543835745559,2.2946706603618687,0.2543509984180414,-0.740646762749412,1,2
83159bfffffffff,48.989882671517165,122.73269770570232,4.078093944597501,1.5861166587253526,-0.4230507570270706,-0.5534435760980707,2,3
834f40fffffffff,13.287929776553398,149.0964049298688,3.7774640558573753,2.4742223187266763,-0.4425242128520251,-0.4518280139357057,2,3
8374c5fffffffff,-2.668983346373476,-2.943422880610443,-1.410575713182067,-0.9808434306240954,0.4061029320810153,-1.1789297148098643,0,1
835eadfffffffff,14.221549886375833,-52.527450981641024,-0.4667784813678646,2.5846954754264413,-0.3003603445867334,1.084370256416706,1,2
833449fffffffff,26.017917882750723,-15.431817909960358,-1.4646923248268686,-1.0694751341324031,0.2413337246205301,-0.6239084306112859,0,1
8308ecfffffffff,68.42689380216365,18.59774705916364,-1.449292971440909,-1.0442542106111294,0.2882202383117881,-0.781844573180625,0,1
83e331fffffffff,-66.8430371460488,-146.32383343947873,-1.5514938324865557,-1.21163786858931,-0.0229514031575271,0.2663299414409709,0,1
831f42fffffffff,53.91935457949847,23.70128875459639,-1.4103025707690404,-0.9803960804181024,0.4069345706029111,-1.1817310700359145,0,1
83576afffffffff,18.17132521372688,-25.378126747176587,3.3664050131768675,0.5087899807087813,-0.5660294720403435,-0.0622253990697062,2,3
839593fffffffff,-14.92958736106752,116.26357621544662,-0.0359227172624247,3.713019638034659,0.2339282360356785,-0.7231805662037474,1,2
83675bfffffffff,8.18912394359134,-69.21349481155886,-1.6195107276231948,-1.32303533232696,-0.230042896230774,0.9639128709436172,0,1
837c24fffffffff,-4.636387626015982,-22.30115995971572,-1.4711088331868956,-1.0799840342508589,0.2217973389339224,-0.5581005649335916,0,1
838284fffffffff,0.5834497340658864,14.534998581983483,-1.3804310743715509,-0.9314728102505384,0.4978845143905667,-1.4880938630409066,0,1
