cell_id,lat,lon,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean,eq_energy_log,eq_days_since_last_major,cyclone_count,wind_mean,wind_max,pressure_min_mean,dist_nearest_volcano_km,volcano_count
83a205fffffffff,-19.15352467560881,50.15959362522232,0.0,,,,,,59.0,37.65094339622642,87.5,991.375,623.8627356586364,0
8346e6fffffffff,21.11440967050478,-167.89327111330198,0.0,,,,,,2.0,30.0,30.0,1012.0,4168.835946661233,0
837bb2fffffffff,-0.4916047228502681,55.36857991654489,0.0,,,,,,0.0,,,,1821.5748800459723,0
83d769fffffffff,-50.198830306527405,23.374294202820632,0.0,,,,,,0.0,,,,4282.181428668741,0
83114dfffffffff,69.43424314689817,45.469661326031115,0.0,,,,,,0.0,,,,3656.222923313692,0
8325a5fffffffff,47.48596443663827,89.8087581093761,14.0,5.2250000000000005,7.25,20.157142857142862,15.687476055619456,34673.0,0.0,,,,3757.4822914957786,0
83f12cfffffffff,-86.39358062205358,138.39256426326904,0.0,,,,,,0.0,,,,5453.182989284003,0
836789fffffffff,10.506800812555543,-78.56177131029501,1.0,5.0,5.0,35.03,12.3,,8.0,38.4375,57.5,995.125,9452.440890048561,0
833f8afffffffff,26.195240891909453,16.39172738142824,0.0,,,,,,0.0,,,,1291.258979458799,0
83950cfffffffff,-5.187537954863125,121.69484650365906,1.0,4.8,4.8,10.0,12.0,,0.0,,,,348.31691485652766,0
8386a8fffffffff,-2.530739718612301,84.65285943815746,2.0,5.3,5.8,10.0,13.513520922108038,,0.0,,,,2841.7845722498078,0
83c2a8fffffffff,-37.25606548525874,-53.46454201786379,0.0,,,,,,0.0,,,,8190.352374791932,0
831990fffffffff,57.45654912191745,-27.031411604627504,0.0,,,,,,2.0,57.5,65.0,963.25,3436.338748417975,0
83bd1bfffffffff,-36.53432419482525,35.63841900262904,0.0,,,,,,0.0,,,,2579.86941654831,0
83d408fffffffff,-46.84548643153597,-164.9383037177686,0.0,,,,,,2.0,47.5,65.0,963.0,1794.8593898797858,0
83de85fffffffff,-54.3671008489423,-41.49697901110145,0.0,,,,,,0.0,,,,8278.411147714243,0
837d26fffffffff,-11.782021831048699,-21.32432917041804,0.0,,,,,,0.0,,,,4050.7079060938618,0
83e999fffffffff,-70.44325839326287,-83.61141041522085,0.0,,,,,,0.0,,,,6395.925305094396,0
83018afffffffff,75.02593987631475,56.515781081015334,0.0,,,,,,0.0,,,,4342.090244115512,0
83c4c9fffffffff,-50.16962624730042,-33.631147814049285,0.0,,,,,,0.0,,,,7569.588482165625,0
83db5afffffffff,-56.60585622964554,163.99309678490323,0.0,,,,,,0.0,,,,2249.2359569691744,0
837991fffffffff,1.070092906666964,-143.53813009794413,0.0,,,,,,0.0,,,,3983.387383804156,0
83655afffffffff,5.869334834846016,92.9317851200034,94.0,4.8446808510638295,6.4,28.247829787234046,14.884082884319364,7331.0,3.0,25.0,25.0,1002.0,2376.368649892007,0
838318fffffffff,-8.904036136535247,12.368209540711362,0.0,,,,,,0.0,,,,1697.7275258914826,0
83dd86fffffffff,-57.844837007475185,-1.0685325882844425,0.0,,,,,,0.0,,,,6076.967694843227,0
